Maximillian's Earthen Grasp,Transmutation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
Melf's Acid Arrow,Evocation,1 Action,90 feet,Instantaneous,"V, S, M"
Mental Barrier (UA),Abjuration,1 Reaction,Self,1 round,V
Mind Spike,Divination,1 Action,60 feet,"Concentration, up to 1 hour",S
Mind Thrust (UA),Enchantment,1 Bonus Action,60 feet,1 round,"V, S"
Mirror Image,Illusion,1 Action,Self,1 minute,"V, S"
Misty Step,Conjuration,1 Bonus Action,Self,Instantaneous,V
Moonbeam,Evocation,1 Action,120 feet,"Concentration, up to 1 minute","V, S, M"
Nathair's Mischief,Illusion,1 Action,60ft,"Concentration, up to 1 minute","S, M"
Nathair's Mischief (UA),Illusion,1 Action,60 feet,"Concentration, up to 1 minute","S, M"
Nystul's Magic Aura,Illusion,1 Action,Touch,24 hours,"V, S, M"
Pass Without Trace,Abjuration,1 Action,Self,"Concentration, up to 1 hour","V, S, M"
Phantasmal Force,Illusion,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
Prayer of Healing,Evocation,10 Minutes,Touch,Instantaneous,V
Protection from Poison,Abjuration,1 Action,Touch,1 hour,"V, S"
Pyrotechnics,Transmutation,1 Action,60 feet,Instantaneous,"V, S"
Ray of Enfeeblement,Necromancy,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
Rime's Binding Ice,Evocation,1 Action,Self (30-foot cone),Instantaneous,"S, M"
Rope Trick,Transmutation,1 Action,Touch,1 hour,"V, S, M"
Scorching Ray,Evocation,1 Action,120 feet,Instantaneous,"V, S"
See Invisibility,Divination,1 Action,Self,1 hour,"V, S, M"
Shadow Blade,Illusion,1 Bonus Action,Self,"Concentration, up to 1 minute","V, S"
Shatter,Evocation,1 Action,60 feet,Instantaneous,"V, S, M"
Silence,Illusion,1 Action R,120 feet,"Concentration, up to 10 minutes","V, S"
Skywrite,Transmutation,1 Action R,Sight,"Concentration, up to 1 day","V, S"
Snilloc's Snowball Storm,Evocation,1 Action,90 feet,Instantaneous,"V, S, M"
Spider Climb,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
Spike Growth,Transmutation,1 Action,150 feet,"Concentration, up to 10 minutes","V, S, M"
Spiritual Weapon,Evocation,1 Bonus Action,60 feet,1 minute,"V, S"
Suggestion,Enchantment,1 Action,30 feet,"Concentration, up to 8 hours","V, M"
Summon Beast,Conjuration,1 Action,90 feet,"Concentration, up to 1 hour","V, S, M"
Tasha's Mind Whip,Enchantment,1 Action,90 feet,1 round,V
Thought Shield (UA),Abjuration,1 Action,Touch,8 hours,"V, S"
Vortex Warp,Conjuration,1 Action,90 feet,Instantaneous,"V, S"
Warding Bond,Abjuration,1 Action,Touch,1 hour,"V, S, M"
Warding Wind,Evocation,1 Action,Self,"Concentration, up to 10 minutes",V
Web,Conjuration,1 Action,60 feet,"Concentration, up to 1 hour","V, S, M"
Wither and Bloom,Necromancy,1 Action,60 feet,Instantaneous,"V, S, M"
Wristpocket,Conjuration D,1 Action R,Self,"Concentration, up to 1 hour",S
Zone of Truth,Enchantment,1 Action,60 feet,10 minutes,"V, S"
